"id","title","date"
"tt2209418","Before Midnight","2013-01-20"
"tt0481499","The Croods","2013-03-22"
"tt2209418","Before Midnight","2013-04-22"
"tt1343092","The Great Gatsby","2013-05-01"
"tt1300854","Iron Man Three","2013-05-03"
"tt2209418","Before Midnight","2013-05-09"
"tt1343092","The Great Gatsby","2013-05-10"
"tt1408101","Star Trek Into Darkness","2013-05-16"
"tt2209418","Before Midnight","2013-05-24"
"tt2209418","Before Midnight","2013-06-14"
"tt1210819","The Lone Ranger","2013-06-22"
"tt1210819","The Lone Ranger","2013-07-03"
"tt1690953","Despicable Me 2","2013-07-03"
"tt2334873","Blue Jasmine","2013-07-26"
"tt2334873","Blue Jasmine","2013-07-30"
"tt1462900","Yi dai zong shi","2013-08-22"
"tt1462900","Yi dai zong shi","2013-08-23"
"tt2334873","Blue Jasmine","2013-08-23"
"tt2017038","All Is Lost","2013-08-29"
"tt1392214","Prisoners","2013-08-30"
"tt1462900","Yi dai zong shi","2013-08-30"
"tt2024544","12 Years a Slave","2013-08-30"
"tt1454468","Gravity","2013-08-31"
"tt1700845","The Invisible Woman","2013-08-31"
"tt1392214","Prisoners","2013-09-20"
"tt1535109","Captain Phillips","2013-09-27"
"tt2013293","Kaze tachinu","2013-09-28"
"tt2042568","Inside Llewyn Davis","2013-09-28"
"tt2334873","Blue Jasmine","2013-10-02"
"tt0816442","The Book Thief","2013-10-03"
"tt1821549","Nebraska","2013-10-03"
"tt1454468","Gravity","2013-10-04"
"tt2431286","Philomena","2013-10-06"
"tt1322269","August: Osage County","2013-10-08"
"tt2017038","All Is Lost","2013-10-08"
"tt2024544","12 Years a Slave","2013-10-08"
"tt1700845","The Invisible Woman","2013-10-09"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-09"
"tt0790636","Dallas Buyers Club","2013-10-10"
"tt1821549","Nebraska","2013-10-10"
"tt2013293","Kaze tachinu","2013-10-10"
"tt2024544","12 Years a Slave","2013-10-10"
"tt1322269","August: Osage County","2013-10-11"
"tt1535109","Captain Phillips","2013-10-11"
"tt1700845","The Invisible Woman","2013-10-11"
"tt2024544","12 Years a Slave","2013-10-11"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-11"
"tt1798709","Her","2013-10-12"
"tt2017038","All Is Lost","2013-10-12"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-12"
"tt2431286","Philomena","2013-10-12"
"tt1322269","August: Osage County","2013-10-13"
"tt1798709","Her","2013-10-13"
"tt1821549","Nebraska","2013-10-13"
"tt2024544","12 Years a Slave","2013-10-13"
"tt2024544","12 Years a Slave","2013-10-14"
"tt2431286","Philomena","2013-10-14"
"tt1322269","August: Osage County","2013-10-15"
"tt1322269","August: Osage County","2013-10-16"
"tt1821549","Nebraska","2013-10-16"
"tt2431286","Philomena","2013-10-17"
"tt2017038","All Is Lost","2013-10-18"
"tt2024544","12 Years a Slave","2013-10-18"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-19"
"tt0816442","The Book Thief","2013-10-22"
"tt2042568","Inside Llewyn Davis","2013-10-24"
"tt2431286","Philomena","2013-10-24"
"tt1322269","August: Osage County","2013-10-25"
"tt1821549","Nebraska","2013-10-25"
"tt2017038","All Is Lost","2013-10-25"
"tt2304771","Mandela: Long Walk to Freedom","2013-10-25"
"tt3063516","Jackass Presents: Bad Grandpa","2013-10-25"
"tt0816442","The Book Thief","2013-10-26"
"tt2024544","12 Years a Slave","2013-10-28"
"tt2042568","Inside Llewyn Davis","2013-10-28"
"tt0790636","Dallas Buyers Club","2013-11-01"
"tt2140373","Saving Mr. Banks","2013-11-07"
"tt0816442","The Book Thief","2013-11-08"
"tt1322269","August: Osage County","2013-11-08"
"tt2013293","Kaze tachinu","2013-11-08"
"tt2024544","12 Years a Slave","2013-11-08"
"tt2294629","Frozen","2013-11-10"
"tt2304771","Mandela: Long Walk to Freedom","2013-11-10"
"tt1700845","The Invisible Woman","2013-11-11"
"tt1821549","Nebraska","2013-11-11"
"tt1091191","Lone Survivor","2013-11-12"
"tt1821549","Nebraska","2013-11-12"
"tt1322269","August: Osage County","2013-11-13"
"tt1798709","Her","2013-11-13"
"tt2431286","Philomena","2013-11-13"
"tt2042568","Inside Llewyn Davis","2013-11-14"
"tt2140373","Saving Mr. Banks","2013-11-14"
"tt1821549","Nebraska","2013-11-15"
"tt2431286","Philomena","2013-11-15"
"tt1322269","August: Osage County","2013-11-17"
"tt2304771","Mandela: Long Walk to Freedom","2013-11-17"
"tt2431286","Philomena","2013-11-17"
"tt2294629","Frozen","2013-11-19"
"tt2042568","Inside Llewyn Davis","2013-11-21"
"tt0790636","Dallas Buyers Club","2013-11-22"
"tt2431286","Philomena","2013-11-22"
"tt2304771","Mandela: Long Walk to Freedom","2013-11-23"
"tt1700845","The Invisible Woman","2013-11-24"
"tt0816442","The Book Thief","2013-11-27"
"tt2294629","Frozen","2013-11-27"
"tt2431286","Philomena","2013-11-27"
"tt2304771","Mandela: Long Walk to Freedom","2013-11-29"
"tt1170358","The Hobbit: The Desolation of Smaug","2013-12-02"
"tt2042568","Inside Llewyn Davis","2013-12-06"
"tt1170358","The Hobbit: The Desolation of Smaug","2013-12-13"
"tt1800241","American Hustle","2013-12-13"
"tt2140373","Saving Mr. Banks","2013-12-13"
"tt0993846","The Wolf of Wall Street","2013-12-17"
"tt1798709","Her","2013-12-18"
"tt1800241","American Hustle","2013-12-20"
"tt2140373","Saving Mr. Banks","2013-12-20"
"tt0993846","The Wolf of Wall Street","2013-12-25"
"tt1091191","Lone Survivor","2013-12-25"
"tt1700845","The Invisible Woman","2013-12-25"
"tt2304771","Mandela: Long Walk to Freedom","2013-12-25"
"tt1322269","August: Osage County","2013-12-27"